Name,Image URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Threadripper 2920X,//cdna.pcpartpicker.com/static/forever/images/product/29e90ad73f7c36800dac9c44a7e51a9e.256p.jpg,,AMD,YD292XA8UC9AF,AMD Threadripper,Zen+,Colfax,sTR4,12,3.5 GHz,4.3 GHz,,,6 MB,32 MB,180 W,None,1024 GB,Yes,No,OEM/Tray,12 nm,No,Yes
Intel Core i5-9400,//cdna.pcpartpicker.com/static/forever/images/product/9f63204740a8c727073a16e6b83067ff.256p.jpg,,Intel,CM8068403875504,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,2.9 GHz,4.1 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,No
Intel Xeon E-2136,//cdna.pcpartpicker.com/static/forever/images/product/bdebd1b3f1514e9d09a5308cd6d2232d.256p.jpg,$796.00 ,Intel,CM8068403654318,Intel Xeon E,Coffee Lake,Coffee Lake,LGA1151,6,3.3 GHz,4.5 GHz,,,1.5 MB,12 MB,80 W,None,64 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i5-4590T,https://m.media-amazon.com/images/I/41rcBIHYHhL.jpg,,Intel,CM8064601561826,Intel Core i5,Haswell Refresh,Haswell Refresh,LGA1150,4,2 GHz,,,,1 MB,6 MB,35 W,Intel HD Graphics 4000,,No,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Core i7-860,/static/forever/img/no-image.png,$189.95 ,Intel,BV80605001908AK,Intel Core i7,Nehalem,Lynnfield,LGA1156,4,2.8 GHz,,,,1 MB,8 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,Yes: Hyper-Threading
Intel Core i3-560,https://images-na.ssl-images-amazon.com/images/I/51bzOYqy8rL.jpg,$60.00 ,Intel,BX80616I3560,Intel Core i3,Westmere,Clarkdale,LGA1156,2,3.333 GHz,,,,0.5 MB,4 MB,73 W,Intel HD Graphics,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Xeon E3-1275 V2,https://m.media-amazon.com/images/I/51UDAPGeQVL.jpg,$374.00 ,Intel,CM8063701098702,Intel Xeon E3,Ivy Bridge,Ivy Bridge,LGA1155,4,3.5 GHz,,,,1 MB,32 MB,77 W,Intel HD Graphics P4000,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2603,https://images-na.ssl-images-amazon.com/images/I/51j%2BGeVD5YL.jpg,$98.95 ,Intel,BX80621E52603,Intel Xeon E5,Sandy Bridge,Sandy Bridge-EP,LGA2011,4,1.8 GHz,,,,1 MB,10 MB,80 W,None,,Yes,No,Boxed,32 nm,No,No
Intel Xeon E5-1620 V4,//cdna.pcpartpicker.com/static/forever/images/product/acbbf09e0391f7599810e37d7ed1f9de.256p.jpg,$136.62 ,Intel,BX80660E51620V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,4,3.5 GHz,3.8 GHz,,,1 MB,10 MB,140 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core 2 Duo E4300,https://m.media-amazon.com/images/I/51lLVgcF11L.jpg,,Intel,HH80557PG0332M,Intel Core 2 Duo,Core,Conroe,LGA775,2,1.8 GHz,,,,2 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
