Name,Image URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Antec Draco 10,/static/forever/img/no-image.png,$80.00 ,Antec,"Draco 10, 0-761345-80016-7",MicroATX Mini Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","360 mm / 14.173""","3 x Internal 2.5"", 2 x Internal 3.5""",4 x Full-Height,"444 mm x 220 mm x 410 mm, 17.48"" x 8.661"" x 16.142""","40.049 L, 1.414 ft³"
Chieftec UK-02B-OP,//cdna.pcpartpicker.com/static/forever/images/product/e484b1c36acccee9625b0eca5a0c65fe.256p.jpg,,Chieftec,UK-02B-OP,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","315 mm / 12.402""","1 x External 5.25"", 2 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"380 mm x 227 mm x 343 mm, 14.961"" x 8.937"" x 13.504""","29.587 L, 1.045 ft³"
FSP Group CUT593P,//cdna.pcpartpicker.com/static/forever/images/product/61618932414d18bb1cc55f454e6764d3.256p.jpg,$144.99 ,FSP Group,"CUT593P White, POC0000205",ATX Full Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","400 mm / 15.748""","3 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"500 mm x 230 mm x 544 mm, 19.685"" x 9.055"" x 21.417""","62.56 L, 2.209 ft³"
GameMax Silent,//cdna.pcpartpicker.com/static/forever/images/product/ff4343072ba47cd0b589618b7abc23dd.256p.jpg,,GameMax,GMX-SILENT,ATX Mid Tower,Black,None,None,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x External 5.25"", 2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"475 mm x 230 mm x 468 mm, 18.701"" x 9.055"" x 18.425""","51.129 L, 1.806 ft³"
Geometric Future Model 2 The ARK,//cdna.pcpartpicker.com/static/forever/images/product/47696c88943dfddfc0b772bcc8c61bd1.256p.jpg,$149.90 ,Geometric Future,GEO-M2-GG,MicroATX Mini Tower,Gray / Black,None,Tempered Glass,No,USB 3.2 Gen 1 Type-C,"Micro ATX, Mini ITX","350 mm / 13.78""","1 x Internal 3.5"", 1 x Internal 2.5""",4 x Full-Height,"280 mm x 330 mm x 440 mm, 11.024"" x 12.992"" x 17.323""","40.656 L, 1.436 ft³"
Mars Gaming MC9,//cdna.pcpartpicker.com/static/forever/images/product/77071c1ea4dd3b491b4d216f3ce7dab5.256p.jpg,,Mars Gaming,MC9,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","335 mm / 13.189""","3 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"390 mm x 314 mm x 455 mm, 15.354"" x 12.362"" x 17.913""","55.719 L, 1.968 ft³"
KOLINK Unity Nexus ARGB,//cdna.pcpartpicker.com/static/forever/images/product/0d969e464161e0d727a6e1adad894c0d.256p.jpg,$137.03 ,KOLINK,UNITY-NEXUS,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 2.5"", 2 x Internal 3.5""","7 x Full-Height, 3 x Full-Height via Riser","460 mm x 230 mm x 485 mm, 18.11"" x 9.055"" x 19.094""","51.313 L, 1.812 ft³"
RAIJINTEK STYX,//cdna.pcpartpicker.com/static/forever/images/product/be95f8135c2116863ab8752443d2b029.256p.jpg,$85.84 ,RAIJINTEK,0R200028,MicroATX Mini Tower,Blue,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","280 mm / 11.024""","1 x External 5.25"" Slim Slot Load, 3 x Internal 3.5""",4 x Full-Height,,
Tempest Spectra RGB,//cdna.pcpartpicker.com/static/forever/images/product/be5aa4af1b55756903892031d7539d0d.256p.jpg,,Tempest,TP-ATX-CS-SPECWH,ATX Mid Tower,White / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","350 mm / 13.78""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Jonsbo VR4,//cdna.pcpartpicker.com/static/forever/images/product/d0994162d23399d372576641f1dd3eaa.256p.jpg,,Jonsbo,VR4 WHITE,ATX Mid Tower,White,None,Mesh,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","320 mm / 12.598"" With Drive Cages, 345 mm / 13.583"" Without Drive Cages","2 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"398 mm x 216 mm x 440 mm, 15.669"" x 8.504"" x 17.323""","37.826 L, 1.336 ft³"
Chieftec BT-06B-250VS (230v),//cdna.pcpartpicker.com/static/forever/images/product/d4657deeb870c7f844194822faf41235.256p.jpg,,Chieftec,"BT-06B-250VS, BT-06B-U3-250VS",Mini ITX Tower,,250 W,None,No,USB 3.2 Gen 1 Type-A,Mini ITX,"190 mm / 7.48""","1 x Internal 3.5"", 2 x Internal 2.5""",2 x Full-Height,"240 mm x 135 mm x 323 mm, 9.449"" x 5.315"" x 12.717""","10.465 L, 0.37 ft³"
Jonsbo U5,//cdna.pcpartpicker.com/static/forever/images/product/1c48f95442cea1543ef8c0357d4d12ea.256p.jpg,,Jonsbo,"U5 Black, CA-010-JB, U5.BK.W",ATX Mid Tower,Black,None,Tempered Glass,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","350 mm / 13.78""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"418 mm x 219 mm x 440 mm, 16.457"" x 8.622"" x 17.323""","40.278 L, 1.422 ft³"
