Name,Image URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
MSI GeForce RTX 3060 Ventus 2X 12G,//cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,$289.00 ,MSI,"RTX3060Ventus2X12GOC, GeForce RTX 3060 VENTUS 2X 12G OC, V397-022R, 912-V397-039",GeForce RTX 3060 12GB,12 GB,GDDR6,1320 MHz,1777 MHz,15000 MHz,PCIe x16,Black,G-Sync,235 mm,170 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,$581.19 ,Gigabyte,GV-N4070WF3OC-12GD,GeForce RTX 4070,12 GB,GDDR6X,1920 MHz,2490 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,200 W,2,3,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,3,N/A,N/A,N/A
Asus ROG STRIX GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/9f7b45a2816c45ea9449e8ca2bf6f616.256p.jpg,"$1,979.99 ",Asus,"ROG-STRIX-RTX4090-O24G-GAMING, 90YV0ID0-M0NA00, 90YV0ID0-M0AA00",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2640 MHz,21000 MHz,PCIe x16,Black,G-Sync,358 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/6b90f36fbe6c1408ac40ab85c762807c.256p.jpg,$799.99 ,Gigabyte,GV-N407TSWF3OC-16GD,GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2625 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,285 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/b836633d335617f71eb7b4e5f0ba43b7.256p.jpg,$309.99 ,Asus,"DUAL-RTX4060-O8G, 90YV0JC0-M0NA00",GeForce RTX 4060,8 GB,GDDR6,1830 MHz,2535 MHz,N/A,PCIe x16,Black,G-Sync,227 mm,115 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,$499.00 ,Gigabyte,GV-R78XTGAMING OC-16GD,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2565 MHz,N/A,PCIe x16,Black,FreeSync,302 mm,263 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/c17472cd578b7847c10089750b161a2f.256p.jpg,$599.99 ,Gigabyte,GV-N407SWF3OC-12GD,GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2505 MHz,N/A,PCIe x16,Black,G-Sync,261 mm,220 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
ASRock Challenger D,//cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg,$189.99 ,ASRock,"RX6600 CLD 8G, 90-GA2RZZ-00UANF",Radeon RX 6600,8 GB,GDDR6,1626 MHz,N/A,N/A,PCIe x16,Black,FreeSync,269 mm,132 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
PNY VCNRTX6000ADA-PB,//cdna.pcpartpicker.com/static/forever/images/product/6ef5b8f1b94982c71019a0d9ac2795e2.256p.jpg,"$9,999.00 ",PNY,VCNRTX6000ADA-PB,RTX 6000 Ada Generation,48 GB,GDDR6,915 MHz,2505 MHz,20000 MHz,PCIe x16,Black / Gold,None,267 mm,300 W,2,2,1 Fan,1 PCIe 16-pin,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A
XFX Speedster SWFT 309,https://m.media-amazon.com/images/I/41Gcn+794SS.jpg,$299.99 ,XFX,RX-67XTYJFDV,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,2581 MHz,N/A,PCIe x16,Black,FreeSync,304 mm,230 W,2,2,3 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA Founders Edition,//cdna.pcpartpicker.com/static/forever/images/product/07ff8dc03a65e34edc811c97d838af9a.256p.jpg,"$1,972.99 ",NVIDIA,900-1G136-2530-000,GeForce RTX 4090,24 GB,GDDR6X,2230 MHz,2520 MHz,N/A,PCIe x16,Black / Silver,G-Sync,304 mm,450 W,3,3,2 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte EAGLE,//cdna.pcpartpicker.com/static/forever/images/product/80f174eea93a4a0981c63721c9a9805d.256p.jpg,$390.99 ,Gigabyte,GV-N406TEAGLE-8GD,GeForce RTX 4060 Ti,8 GB,GDDR6,2310 MHz,N/A,N/A,PCIe x16,Black,G-Sync,272 mm,165 W,2,2,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
Asus ROG STRIX GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/2aab4ec16f5be8f6d95d1e5848c2d9be.256p.jpg,"$2,029.00 ",Asus,"rog-strix-rtx4090-o24g-white, 90YV0ID2-M0NA00",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2640 MHz,N/A,PCIe x16,White,G-Sync,358 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte AERO OC,//cdna.pcpartpicker.com/static/forever/images/product/13a70d0303a8922898892321f6b35104.256p.jpg,$319.99 ,Gigabyte,GV-N4060AERO OC-8GD,GeForce RTX 4060,8 GB,GDDR6,1830 MHz,N/A,N/A,PCIe x16,White,G-Sync,281 mm,115 W,2,2,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
XFX Speedster SWFT 210 Core,//cdna.pcpartpicker.com/static/forever/images/product/286555a12154c13311feaf62beab4ee9.256p.jpg,$219.99 ,XFX,RX-665X8DFDY,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,2635 MHz,N/A,PCIe x16,Black / Silver,FreeSync,241 mm,180 W,2,2,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
Asus TUF GAMING,//cdna.pcpartpicker.com/static/forever/images/product/4aea17ad419ee3bf159a407dc643aa80.256p.jpg,$999.99 ,Asus,"tuf-rtx4080s-16g-gaming, 90YV0KA1-M0AA00, 90YV0KA1-M0NA00",GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2580 MHz,N/A,PCIe x16,Black,G-Sync,348 mm,320 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte EAGLE,//cdna.pcpartpicker.com/static/forever/images/product/232dd1c4ff3c7494fae18e5e99c878ce.256p.jpg,$199.99 ,Gigabyte,GV-R66EAGLE-8GD,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,14000 MHz,PCIe x16,Black / Silver,FreeSync,282 mm,132 W,2,2,3 Fans,1 PCIe 8-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
XFX Speedster MERC 310 Black Edition,https://m.media-amazon.com/images/I/41KTQkxkKHL.jpg,$926.77 ,XFX,RX-79XMERCB9,Radeon RX 7900 XTX,24 GB,GDDR6,2300 MHz,2615 MHz,N/A,PCIe x16,Black / Silver,FreeSync,344 mm,355 W,2,3,3 Fans,3 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/893108b2bc445db992e277a36594ff07.256p.jpg,$609.00 ,Asus,"dual-rtx4070s-o12g, 90YV0K82-M0NA00, 90YV0K82-M0AA00",GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,267 mm,220 W,2,3,2 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/4255608ed3c98ddaaf0dc26bc7d2c982.256p.jpg,$409.99 ,Gigabyte,GV-R77XTGAMING OC-12GD,Radeon RX 7700 XT,12 GB,GDDR6,1700 MHz,2599 MHz,N/A,PCIe x16,Black,FreeSync,302 mm,245 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
XFX GTS XXX,//cdna.pcpartpicker.com/static/forever/images/product/7a8d66854d65f497aca573e84772d861.256p.jpg,$129.99 ,XFX,RX-580P8DFD6,Radeon RX 580,8 GB,GDDR5,1366 MHz,1386 MHz,8100 MHz,PCIe x16,Black / Red,FreeSync,270 mm,185 W,2,2,2 Fans,1 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
XFX Speedster SWFT 319,https://m.media-amazon.com/images/I/41aCdMMAvYL.jpg,$369.99 ,XFX,RX-68XLAQFD9,Radeon RX 6800,16 GB,GDDR6,1700 MHz,2105 MHz,16000 MHz,PCIe x16,Black,FreeSync,340 mm,250 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
MSI VENTUS 2X BLACK OC,//cdna.pcpartpicker.com/static/forever/images/product/c89cc9ea2051206aebd4189ddf05f76b.256p.jpg,$293.00 ,MSI,"RTX 4060 VENTUS 2X BLACK 8G OC, GeForce RTX 4060 VENTUS 2X BLACK 8G OC, 912-V516-004, V516-004R",GeForce RTX 4060,8 GB,GDDR6,1830 MHz,2505 MHz,N/A,PCIe x16,Black,G-Sync,199 mm,115 W,2,2,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte WINDFORCE OC,//cdna.pcpartpicker.com/static/forever/images/product/1e3e35590c40b7b20e6910ecea2ae02a.256p.jpg,$299.99 ,Gigabyte,GV-N4060WF2OC-8GD,GeForce RTX 4060,8 GB,GDDR6,1830 MHz,N/A,N/A,PCIe x16,Black,G-Sync,192 mm,115 W,2,2,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
Sapphire PULSE,//cdna.pcpartpicker.com/static/forever/images/product/d8c578ddd6b41bcf2b3467084f13e2b2.256p.jpg,$689.99 ,Sapphire,11323-02-20G,Radeon RX 7900 XT,20 GB,GDDR6,2000 MHz,2450 MHz,N/A,PCIe x16,Black / Red,FreeSync,313 mm,331 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/5909467f4e89b69ef1dc59517743c877.256p.jpg,$609.99 ,Asus,"dual-rtx4070-o12g, 90YV0IZ2-M0NA00",GeForce RTX 4070,12 GB,GDDR6X,2520 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,267 mm,200 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
MSI RTX 3060 Ventus 3X 12G OC,//cdna.pcpartpicker.com/static/forever/images/product/24f2250843caa631f82d234bc781e9d0.256p.jpg,$299.00 ,MSI,"RTX3060Ventus3X12GOC, GeForce RTX 3060 VENTUS 3X 12G OC, V397-031R, G3060V3X12C, 912-V397-038",GeForce RTX 3060 12GB,12 GB,GDDR6,1320 MHz,1807 MHz,15000 MHz,PCIe x16,Black,G-Sync,316 mm,170 W,2,2,3 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Asus TUF GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/b0789be09cf15d356b010a73a7d3c96f.256p.jpg,$849.99 ,Asus,"tuf-rtx4070tis-o16g-gaming, 90YV0KF0-M0AA00, 90YV0KF0-M0NA00",GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2670 MHz,N/A,PCIe x16,Black,G-Sync,305 mm,285 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
ASRock Challenger OC,//cdna.pcpartpicker.com/static/forever/images/product/fdfa1b89cb54fb91483ca1fbc6b57f3f.256p.jpg,$399.99 ,ASRock,"RX7700XT CL 12GO, 90-GA4QZZ-00UANF",Radeon RX 7700 XT,12 GB,GDDR6,1700 MHz,2584 MHz,N/A,PCIe x16,Black,FreeSync,266 mm,245 W,2,3,2 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A
Asus ROG Matrix Platinum,//cdna.pcpartpicker.com/static/forever/images/product/3bb3797143155f95307420a9ca1cf6de.256p.jpg,"$4,699.00 ",Asus,"ROG-MATRIX-RTX4090-P24G-GAMING, 90YV0ID7-M0NM00",GeForce RTX 4090,24 GB,GDDR6X,2670 MHz,2700 MHz,N/A,PCIe x16,Black / Silver,G-Sync,286 mm,450 W,2,3,360 mm Radiator,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/704d58fa45fdd33c35495cbc1dcbac18.256p.jpg,$569.99 ,Asus,"dual-rtx4070-o12g-white, 90YV0IZ4-M0NA00",GeForce RTX 4070,12 GB,GDDR6X,2520 MHz,2550 MHz,N/A,PCIe x16,White,G-Sync,267 mm,200 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
XFX Speedster QICK 319 Core,//cdna.pcpartpicker.com/static/forever/images/product/165da78d04ac3356f2b48e70fd34d044.256p.jpg,$309.99 ,XFX,RX-675XYJFDP,Radeon RX 6750 XT,12 GB,GDDR6,2150 MHz,2600 MHz,18000 MHz,PCIe x16,Black,FreeSync,323 mm,250 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
Asus DUAL OC,//cdna.pcpartpicker.com/static/forever/images/product/9d924ea894f7a9c206bb6cd8c71a4ced.256p.jpg,$384.99 ,Asus,"DUAL-RTX4060TI-O8G, 90YV0J40-M0NA00",GeForce RTX 4060 Ti,8 GB,GDDR6,2310 MHz,2595 MHz,N/A,PCIe x16,Black,G-Sync,227 mm,165 W,2,3,2 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Zotac GAMING Trinity,//cdna.pcpartpicker.com/static/forever/images/product/15bd597b55a49b686ef8f2deb354637e.256p.jpg,"$1,112.44 ",Zotac,ZT-D40820D-10P,GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,307 mm,320 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
MSI VENTUS 3X OC,//cdna.pcpartpicker.com/static/forever/images/product/df6b1a3641b0a96940e7e5ce77685bad.256p.jpg,"$1,029.99 ",MSI,"RTX 4080 SUPER 16G VENTUS 3X OC, GeForce RTX 4080 SUPER 16G VENTUS 3X OC, G4080S16V3C, V511-221R, 912-V511-221",GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2595 MHz,N/A,PCIe x16,Black,G-Sync,322 mm,320 W,3,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,2,N/A,N/A
Sapphire PULSE,https://m.media-amazon.com/images/I/41DfYxZXJqL.jpg,$509.99 ,Sapphire,11330-02-20G,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,N/A,N/A,PCIe x16,Black / Red,FreeSync,280 mm,266 W,2,3,2 Fans,2 PCIe 8-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/e645fd6b99e7e5ef568d831b64800d41.256p.jpg,$549.99 ,Gigabyte,GV-R79GREGAMING OC-16GD,Radeon RX 7900 GRE,16 GB,GDDR6,1270 MHz,2391 MHz,18000 MHz,PCIe x16,Black,FreeSync,302 mm,260 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/b537a4618dfe7ddd95ae47d707977a18.256p.jpg,$329.99 ,Gigabyte,GV-R76XTGAMING OC-16GD,Radeon RX 7600 XT,16 GB,GDDR6,1720 MHz,N/A,N/A,PCIe x16,Black / Gray,FreeSync,281 mm,190 W,2,3,3 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A
Gigabyte AERO OC,//cdna.pcpartpicker.com/static/forever/images/product/c27286c67afd39d56341cb4ee563d82c.256p.jpg,$659.99 ,Gigabyte,GV-N407SAERO OC-12GD,GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2565 MHz,N/A,PCIe x16,White / Silver,G-Sync,300 mm,220 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Zotac GAMING Trinity OC,//cdna.pcpartpicker.com/static/forever/images/product/6638650c9f77a1ccae63db939b5198a2.256p.jpg,$789.99 ,Zotac,ZT-D40730Q-10P,GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2625 MHz,N/A,PCIe x16,White,G-Sync,307 mm,285 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Gigabyte WINDFORCE V2,//cdna.pcpartpicker.com/static/forever/images/product/906bb4342e5338eb27a11a439afe80ff.256p.jpg,"$1,192.00 ",Gigabyte,GV-N408SWF3V2-16GD,GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2550 MHz,N/A,PCIe x16,Black,G-Sync,330 mm,320 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Sapphire NITRO+,//cdna.pcpartpicker.com/static/forever/images/product/c4b5d01ef7e75bca37fc28846e827143.256p.jpg,$999.99 ,Sapphire,"11322-01-20G, 11322-01-40G",Radeon RX 7900 XTX,24 GB,GDDR6,2300 MHz,2680 MHz,N/A,PCIe x16,Silver / Black,FreeSync,320 mm,420 W,3,4,3 Fans,3 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Sapphire PURE,//cdna.pcpartpicker.com/static/forever/images/product/200bc510ff5c74c70683f0ce4bd5efb6.256p.jpg,$524.99 ,Sapphire,11330-03-20G,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2475 MHz,N/A,PCIe x16,White,FreeSync,320 mm,270 W,2,3,3 Fans,2 PCIe 8-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA Founders Edition,//cdna.pcpartpicker.com/static/forever/images/product/48eea8a717330fc5dd5856b1fae65042.256p.jpg,$495.00 ,NVIDIA,900-1G142-2520-000,GeForce RTX 3060 Ti,8 GB,GDDR6,1410 MHz,1670 MHz,14000 MHz,PCIe x16,Black / Silver,G-Sync,242 mm,200 W,2,2,2 Fans,1 PCIe 12-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Asus TUF GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/7e2aecad10e5dcbe518f82a9e8dc64c3.256p.jpg,"$1,779.99 ",Asus,"TUF-RTX4090-O24G-GAMING, 90YV0IE0-M0NA00",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2595 MHz,21000 MHz,PCIe x16,Black,G-Sync,348 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Asus TUF GAMING,//cdna.pcpartpicker.com/static/forever/images/product/c0ce4aec0694f178979ad52c4259d579.256p.jpg,,Asus,"tuf-rtx4070tis-16g-gaming, 90YV0KF1-M0NA00, 90YV0KF1-M0AA00",GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,2340 MHz,2640 MHz,N/A,PCIe x16,Black,G-Sync,305 mm,285 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte GAMING OC,//cdna.pcpartpicker.com/static/forever/images/product/a2b379f45c9a469f67e9d1118193a4ca.256p.jpg,"$1,799.99 ",Gigabyte,GV-N4090GAMING OC-24GD,GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,N/A,21000 MHz,PCIe x16,Black,G-Sync,340 mm,450 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
Sapphire PULSE,//cdna.pcpartpicker.com/static/forever/images/product/5d0ebfa77082c463d413e09a7e821d29.256p.jpg,$899.99 ,Sapphire,11322-02-20G,Radeon RX 7900 XTX,24 GB,GDDR6,2300 MHz,2525 MHz,N/A,PCIe x16,Black / Red,FreeSync,313 mm,370 W,2,3,3 Fans,3 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
ASRock Challenger OC,//cdna.pcpartpicker.com/static/forever/images/product/d386923f7490f432e0052a2aa2857c4a.256p.jpg,$479.99 ,ASRock,"RX7800XT CL 16GO, 90-GA4SZZ-00UANF",Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2475 MHz,N/A,PCIe x16,Black,FreeSync,267 mm,263 W,2,3,2 Fans,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A
Asus ProArt OC,https://m.media-amazon.com/images/I/31G+EHZzqOL.jpg,"$1,129.99 ",Asus,"proart-rtx4080s-o16g, 90YV0K90-M0NA00, 90YV0K90-M0AA00",GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2640 MHz,N/A,PCIe x16,Black / Gold,G-Sync,300 mm,320 W,2,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Sapphire PULSE,https://m.media-amazon.com/images/I/41DfYxZXJqL.jpg,$389.99 ,Sapphire,11335-04-20G,Radeon RX 7700 XT,12 GB,GDDR6,1700 MHz,2544 MHz,N/A,PCIe x16,Black / Red,FreeSync,280 mm,230 W,2,3,2 Fans,2 PCIe 8-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
MSI VENTUS 2X OC,//cdna.pcpartpicker.com/static/forever/images/product/f86c8c5780481bd5cfd54e7251ce354e.256p.jpg,$179.99 ,MSI,"RTX 3050 VENTUS 2X 6G OC, GeForce RTX 3050 VENTUS 2X 6G OC, V812-015R, 912-V812-015",GeForce RTX 3050 6GB,6 GB,GDDR6,1040 MHz,1492 MHz,N/A,PCIe x16,Black,G-Sync,189 mm,70 W,2,2,2 Fans,None,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A
PowerColor Fighter,https://m.media-amazon.com/images/I/41Z+tPcosjL.jpg,$199.99 ,PowerColor,AXRX 6600 8GBD6-3DH,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,N/A,PCIe x16,Black,FreeSync,200 mm,132 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA Founders Edition,//cdna.pcpartpicker.com/static/forever/images/product/8258cfebf744bbf8e9d175944093d490.256p.jpg,$703.99 ,NVIDIA,900-1G141-2544-000,GeForce RTX 4070,12 GB,GDDR6X,1920 MHz,2480 MHz,N/A,PCIe x16,Black / Silver,G-Sync,244 mm,200 W,2,2,2 Fans,1 PCIe 16-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
Asus ROG STRIX GAMING OC,https://m.media-amazon.com/images/I/41kAmUfffEL.jpg,"$1,299.99 ",Asus,"rog-strix-rtx4080s-o16g-white, 90YV0KB2-M0NA00, 90YV0KB2-M0AA00",GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2670 MHz,N/A,PCIe x16,White,G-Sync,358 mm,320 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
Gigabyte GAMING OC Rev 2.0,https://m.media-amazon.com/images/I/41TxodjkO1S.jpg,$537.98 ,Gigabyte,"GV-N3070GAMING OC-8GD Rev 2.0, GV-N3070GAMING OC-8GD V2, GV-N3070GAMING OC-8GD 2.0",GeForce RTX 3070 LHR,8 GB,GDDR6,1500 MHz,1815 MHz,14000 MHz,PCIe x16,Black,G-Sync,286 mm,220 W,2,3,3 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,2,2,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA Founders Edition,//cdna.pcpartpicker.com/static/forever/images/product/42c230daa7a42426b3025984bf3418bd.256p.jpg,,NVIDIA,900-1G141-2534-000,GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2480 MHz,N/A,PCIe x16,Black / Silver,G-Sync,244 mm,220 W,2,2,2 Fans,1 PCIe 16-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
XFX Speedster SWFT 210,//cdna.pcpartpicker.com/static/forever/images/product/9dfd9338635c909cdc810e266474b18d.256p.jpg,$199.99 ,XFX,RX-66XL8LFDQ,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,N/A,PCIe x16,Black,FreeSync,241 mm,132 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Zotac Twin Edge,//cdna.pcpartpicker.com/static/forever/images/product/d2362a301fdec874257761c508a6d9e0.256p.jpg,$589.99 ,Zotac,"ZT-D40720E-10M, VC-ZT-D40720E-10M",GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2475 MHz,N/A,PCIe x16,Black,G-Sync,234 mm,220 W,2,2,2 Fans,1 PCIe 16-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
Sapphire PULSE,//cdna.pcpartpicker.com/static/forever/images/product/f1298cb3009d335d5d4c94c21d40b6f6.256p.jpg,$269.99 ,Sapphire,11324-01-20G,Radeon RX 7600,8 GB,GDDR6,1720 MHz,2755 MHz,18000 MHz,PCIe x16,Black / Red,FreeSync,240 mm,185 W,2,3,2 Fans,1 PCIe 8-pin,1,N/A,N/A,N/A,3,N/A,N/A,N/A
Asus TUF GAMING OC,https://m.media-amazon.com/images/I/414HBcgSZPL.jpg,"$1,099.99 ",Asus,"tuf-rtx4080s-o16g-gaming, 90YV0KA0-M0NA00, 90YV0KA0-M0AA00",GeForce RTX 4080 SUPER,16 GB,GDDR6X,2210 MHz,2640 MHz,N/A,PCIe x16,Black,G-Sync,348 mm,320 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,2,N/A,3,N/A,N/A
