Name,Image URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
Palit StormX OC,//cdna.pcpartpicker.com/static/forever/images/product/85846f031aea9ccdec0a46bb85bbb80c.256p.jpg,,Palit,NE6165SS18G1-166F,GeForce GTX 1650 SUPER,4 GB,GDDR6,1530 MHz,1770 MHz,12000 MHz,PCIe x16,Black,G-Sync,168 mm,100 W,2,2,1 Fan,1 PCIe 6-pin,1,1,1,N/A,N/A,N/A,N/A,N/A
XFX RX-67TMYDFD8,https://m.media-amazon.com/images/I/31LfYX6dwcL.jpg,,XFX,RX-67TMYDFD8,Radeon RX 6700 XT,12 GB,GDDR6,2330 MHz,2615 MHz,16000 MHz,PCIe x16,Silver / Black,FreeSync,267 mm,230 W,2,2,2 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
MSI GeForce RTX 3090 Ti SUPRIM 24G,//cdna.pcpartpicker.com/static/forever/images/product/62cc1357fdc5edd77c60fef02f73422e.256p.jpg,,MSI,"RTX 3090 Ti SUPRIM 24G, GeForce RTX 3090 Ti SUPRIM 24G",GeForce RTX 3090 Ti,24 GB,GDDR6X,1560 MHz,1935 MHz,N/A,PCIe x16,Silver / Black,G-Sync,338 mm,450 W,3,4,3 Fans,1 PCIe 16-pin,1,3,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
Palit GameRock OC,//cdna.pcpartpicker.com/static/forever/images/product/3e5bcb5b68728e5414fc83c00bc373ab.256p.jpg,,Palit,NED4080S19T2-1030G,GeForce RTX 4080,16 GB,GDDR6X,2205 MHz,2640 MHz,22400 MHz,PCIe x16,Black,G-Sync,329 mm,340 W,4,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
Sapphire 21306-01-20G,//cdna.pcpartpicker.com/static/forever/images/product/591388d312e3556b7a05d8f15b4baa7d.256p.jpg,,Sapphire,21306-01-20G,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,2581 MHz,16000 MHz,PCIe x16,Black / Silver,FreeSync,267 mm,230 W,2,2,2 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Inno3D AX Gaming X3W,//cdna.pcpartpicker.com/static/forever/images/product/5386079d9a50ece3fe7789d819d34836.256p.jpg,,Inno3D,"835168000018, A40903-246XX-18333141",GeForce RTX 4090,24 GB,GDDR6X,2235 MHz,2550 MHz,N/A,PCIe x16,White / Blue,G-Sync,336 mm,450 W,3,3,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
PNY Founders Edition,https://m.media-amazon.com/images/I/41y4YLVFmZL.jpg,"$3,135.02 ",PNY,VCGGTX1080T11PB-FE,GeForce GTX 1080 Ti,11 GB,GDDR5X,1480 MHz,1582 MHz,11010 MHz,PCIe x16,Black / Silver,G-Sync,267 mm,250 W,2,2,1 Fan,1 PCIe 8-pin + 1 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
Asus ROG STRIX,https://m.media-amazon.com/images/I/41kPWFS3OIL.jpg,,Asus,"rog-strix-rtx4060-8g-gaming, 90YV0JB1-M0NA00",GeForce RTX 4060,8 GB,GDDR6,1830 MHz,2490 MHz,N/A,PCIe x16,Black,G-Sync,311 mm,115 W,2,4,3 Fans,1 PCIe 8-pin,N/A,N/A,N/A,1,N/A,3,N/A,N/A
PowerColor Red Devil OC,https://m.media-amazon.com/images/I/31OPFOFzgAL.jpg,,PowerColor,AXRX 6650XT 8GBD6-3DHE/OC,Radeon RX 6650 XT,8 GB,GDDR6,2055 MHz,2694 MHz,N/A,PCIe x16,Black,FreeSync,251 mm,180 W,2,3,2 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
Zotac GAMING,//cdna.pcpartpicker.com/static/forever/images/product/291c88fb1fd203b2474fcb872aff3018.256p.jpg,,Zotac,ZT-T20820H-10P,GeForce RTX 2080 SUPER,8 GB,GDDR6,1650 MHz,1815 MHz,15500 MHz,PCIe x16,Black / Silver,G-Sync,308 mm,250 W,2,3,3 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
EVGA XC BLACK GAMING,https://m.media-amazon.com/images/I/41-IBSRhnQL.jpg,$449.00 ,EVGA,08G-P5-3551-KR,GeForce RTX 3050 8GB,8 GB,GDDR6,1550 MHz,1777 MHz,N/A,PCIe x16,Black,G-Sync,202 mm,130 W,2,2,2 Fans,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Gigabyte AORUS MASTER Rev 2.0,https://m.media-amazon.com/images/I/41Enz4aH-sS.jpg,"$1,185.00 ",Gigabyte,"GV-N3080AORUS M-10GD (rev 2.0), GV-N3080AORUS M-10GD (rev 3.0), GV-N3080AORUS M-10GD (rev. 2.0), GV-N3080AORUS M-10GD (rev. 3.0), GV-N3080AORUSM10GDR2",GeForce RTX 3080 10GB LHR,10 GB,GDDR6X,1440 MHz,1845 MHz,19000 MHz,PCIe x16,Black,G-Sync,319 mm,320 W,4,4,3 Fans,3 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
Palit GameRock OC,//cdna.pcpartpicker.com/static/forever/images/product/7ec57f1e90a60a5edade1180f634382c.256p.jpg,,Palit,NED407TU19K9-1045G,GeForce RTX 4070 Ti,12 GB,GDDR6X,2310 MHz,2775 MHz,N/A,PCIe x16,Silver,G-Sync,329 mm,285 W,2,4,3 Fans,1 PCIe 16-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
Sapphire 100360SR,https://m.media-amazon.com/images/I/41tlCCNCP4L.jpg,,Sapphire,"100360SR, 21234-00-40G",Radeon R9 295X2,8 GB,GDDR5,947 MHz,1018 MHz,5000 MHz,PCIe x16,Black / Silver,None,305 mm,500 W,2,2,120 mm Radiator + 1 Fan,2 PCIe 8-pin,N/A,N/A,1,N/A,N/A,N/A,N/A,2-way CrossFire Capable
PNY Blower,//cdna.pcpartpicker.com/static/forever/images/product/a0b4bb645dfe966ed2d51c92935a0bd3.256p.jpg,,PNY,VCG1660T6BLMPB,GeForce GTX 1660 Ti,6 GB,GDDR6,1500 MHz,1770 MHz,12000 MHz,PCIe x16,Black,G-Sync,255 mm,120 W,2,2,1 Fan,1 PCIe 8-pin,1,1,1,N/A,N/A,N/A,N/A,N/A
Zotac AMP Extreme Holo,https://m.media-amazon.com/images/I/31QNt4LGrML.jpg,"$2,273.71 ",Zotac,ZT-A30810B-10P,GeForce RTX 3080 Ti,12 GB,GDDR6X,1365 MHz,1785 MHz,N/A,PCIe x16,Black,G-Sync,356 mm,400 W,2,3,3 Fans,3 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
EVGA XC3 ULTRA HYBRID GAMING,https://m.media-amazon.com/images/I/418dVz+Jl2L.jpg,"$1,245.25 ",EVGA,12G-P5-4868-KL,GeForce RTX 3080 12GB LHR,12 GB,GDDR6X,1260 MHz,1755 MHz,19000 MHz,PCIe x16,Black,G-Sync,263 mm,350 W,2,2,240 mm Radiator + 1 Fan,2 PCIe 8-pin,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A
PNY VCGGTX480XPB,https://images-na.ssl-images-amazon.com/images/I/41xfhdkoFaL.jpg,,PNY,VCGGTX480XPB,GeForce GTX 480,1.5 GB,GDDR5,700 MHz,N/A,3696 MHz,PCIe x16,Black / Silver,None,N/A,250 W,2,2,1 Fan,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3-way SLI Capable, 2-way SLI Capable"
