Name,Image URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number
Corsair Vengeance 8 GB,//cdna.pcpartpicker.com/static/forever/images/product/2b6f3eda4d53f1f565a3e6d17688a684.256p.jpg,,"
Corsair
",CMZ8GX3M2A1600C9R,"
DDR3-1600
","
240-pin DIMM (DDR3)
","
2 x 4GB
",N/A,"
Black / Red
","
11.25 ns
","
9
","
1.5 V
","
9-9-9-24
","
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Ripjaws V 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/32e5b76837853db55a484a807795d13a.256p.jpg,,"
G.Skill
",F4-4000C14D-32GVK,"
DDR4-4000
","
288-pin DIMM (DDR4)
","
2 x 16GB
",N/A,"
Black
","
7 ns
","
14
","
1.55 V
","
14-15-15-35
","
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Trident Z RGB 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/1fec6caa19763636fa5b8ac1596042e3.256p.jpg,,"
G.Skill
",F4-5066C20D-16GTZR,"
DDR4-5066
","
288-pin DIMM (DDR4)
","
2 x 8GB
",N/A,"
Black
","
7.896 ns
","
20
","
1.6 V
","
20-30-30-50
","
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Ares 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/3b191ea6d2424329059465069984d5f2.256p.jpg,$110.89 ,"
G.Skill
",F3-2400C11Q-32GAB,"
DDR3-2400
","
240-pin DIMM (DDR3)
","
4 x 8GB
","
$3.465
",N/A,"
9.167 ns
","
11
","
1.65 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",11
G.Skill Ripjaws V 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/f32933ead8c97b0d50b26c83dc02ae6c.256p.jpg,$124.99 ,"
G.Skill
",F4-2666C18D-64GVK,"
DDR4-2666
","
288-pin DIMM (DDR4)
","
2 x 32GB
","
$1.953
","
Black
","
13.503 ns
","
18
","
1.2 V
","
18-18-18-43
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/3587531dd8f0596b6b4f385ddeba1f88.256p.jpg,$205.00 ,"
Corsair
",CMH64GX5M2B5600Z40K,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.203
","
Black / Gray
","
14.286 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance LP 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/a63d7d3f0bfa8f1ceaaa907b48423c98.256p.jpg,$79.98 ,"
Corsair
",CML16GX3M2A1600C10,"
DDR3-1600
","
240-pin DIMM (DDR3)
","
2 x 8GB
","
$4.999
","
Black / Yellow
","
12.5 ns
","
10
","
1.5 V
","
10-10-10-27
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast RGB 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/58f322d5e07c31b7ffcda3ce4b79cae8.256p.jpg,$59.99 ,"
Kingston
",KF436C18BBA/16,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
1 x 16GB
","
$3.749
","
Black
","
10 ns
","
18
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
Kingston ValueRAM 2 GB,//cdna.pcpartpicker.com/static/forever/images/product/ceb98d22e569129d71a4a037c46d7fd4.256p.jpg,$16.48 ,"
Kingston
",KVR800D2N6/2G,"
DDR2-800
","
240-pin DIMM (DDR2)
","
1 x 2GB
","
$8.240
","
Green
","
15 ns
","
6
","
1.8 V
",N/A,"
Non-ECC / Unbuffered
","
No
",12
Thermaltake TOUGHRAM XG RGB 64 GB,https://m.media-amazon.com/images/I/41tM0xFa3tL.jpg,$549.99 ,"
Thermaltake
",RG06R432GX2-4000C19B,"
DDR4-4000
","
288-pin DIMM (DDR4)
","
2 x 32GB
","
$8.594
","
White / Silver
","
9.5 ns
","
19
","
1.35 V
","
19-23-23-42
","
Non-ECC / Unbuffered
","
Yes
",13
