Name,Image URL,Price,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME
Lexar NM700,//cdna.pcpartpicker.com/static/forever/images/product/953c862dec24346b2343c5c017f5bcc2.256p.jpg,,"
Lexar
",LNM700-1TRBNA,"
1 TB
",N/A,"
SSD
",N/A,"
2.5",,
Inland TN325,https://m.media-amazon.com/images/I/51tgoDvYWgL.jpg,$94.99 ,"
Inland
",1TB TN325,"
1 TB
","
$0.095
","
SSD
",N/A,"
M.2-2242
","
M.2 PCIe 3.0 X4
",No
TEAMGROUP T-FORCE G70 PRO Graphene,/static/forever/img/no-image.png,,"
TEAMGROUP
",TM8FFH512G0C129,"
512 GB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Hitachi Ultrastar DC HC530,/static/forever/img/no-image.png,,"
Hitachi
",0F31283,"
14 TB
",N/A,"
7200 RPM
","
256 MB
","
3.5",,
Corsair MP600 CORE MINI,//cdna.pcpartpicker.com/static/forever/images/product/66417d8738047c041d8575cc46548c70.256p.jpg,$79.98 ,"
Corsair
",CSSD-F1000GBMP600CMN,"
1 TB
","
$0.080
","
SSD
",N/A,"
M.2-2230
","
M.2 PCIe 4.0 X4
",No
PNY CS2142,//cdna.pcpartpicker.com/static/forever/images/product/12bc0f857dad61ed9d2eb30ae072c9f1.256p.jpg,$75.98 ,"
PNY
",M230CS2142-1TB-TB,"
1 TB
","
$0.076
","
SSD
",N/A,"
M.2-2230
","
M.2 PCIe 4.0 X4
",No
Toshiba MQ04ABD200,//cdna.pcpartpicker.com/static/forever/images/product/c9ce6044c3ee978d958cf8cd6d3a5462.256p.jpg,$74.87 ,"
Toshiba
",MQ04ABD200,"
2 TB
","
$0.037
","
5400 RPM
","
128 MB
","
2.5",,
Seagate SkyHawk AI,//cdna.pcpartpicker.com/static/forever/images/product/d88063901480d72b21b7d19f0fd87cef.256p.jpg,$183.13 ,"
Seagate
",ST8000VE000,"
8 TB
","
$0.023
","
7200 RPM
","
256 MB
","
3.5",,
Hitachi Ultrastar SN260,https://m.media-amazon.com/images/I/31JvQMI5fnL.jpg,$309.99 ,"
Hitachi
",0TS1305,"
1.6 TB
","
$0.194
","
SSD
",N/A,"
PCIe
","
PCIe x8
",No
Nextorage NN5PRO,//cdna.pcpartpicker.com/static/forever/images/product/a031c0a66cf144151752d9a825b51096.256p.jpg,$239.99 ,"
Nextorage
","NN5PRO-1TB1BH/XNE SYM, NN5PRO-1TB1BH","
1 TB
","
$0.240
","
SSD
","
2048 MB
","
M.2-2280
","
M.2 PCIe 4.0 X8
",No
Western Digital Red Plus,//cdna.pcpartpicker.com/static/forever/images/product/773b68c4aa7ab36f2b32cff71a6e5c00.256p.jpg,$72.99 ,"
Western Digital
",WD20EFZX,"
2 TB
","
$0.036
","
5400 RPM
","
128 MB
","
3.5",,
Seagate IronWolf 125,//cdna.pcpartpicker.com/static/forever/images/product/1189d0dfe0c7fdaf7552d9decc14325f.256p.jpg,$403.39 ,"
Seagate
",ZA2000NM1A002,"
2 TB
","
$0.202
","
SSD
",N/A,"
2.5",,
Toshiba N300,//cdna.pcpartpicker.com/static/forever/images/product/826d504aef6b230d0faa266c47e5a3fd.256p.jpg,$139.49 ,"
Toshiba
",HDWG440UZSVA,"
4 TB
","
$0.035
","
7200 RPM
",N/A,"
3.5",,
