Name,Image URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
Corsair H100i RGB PLATINUM,//cdna.pcpartpicker.com/static/forever/images/product/623066a73a9f4feafdea3ae659f80705.256p.jpg,,Corsair,H100i RGB PLATINUM,CW-9060039-WW,2400 RPM,37 dB,Black / Silver,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Zalman CNPS9X Performa,https://m.media-amazon.com/images/I/41rCrZU1m3L.jpg,$19.99 ,Zalman,N/A,CNPS9X Performa Black,700 - 1800 RPM,28 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
EK AIO Elite 360 D-RGB,//cdna.pcpartpicker.com/static/forever/images/product/fa8de366f3eb3b0a6a595fb07f98fcac.256p.jpg,$106.99 ,EK,AIO Elite 360 D-RGB,"EK-AIO Elite 360 D-RGB, 3831109829820",550 - 2200 RPM,31.6 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Thermaltake Gravity i2,https://m.media-amazon.com/images/I/51r8krEyBZL.jpg,$11.99 ,Thermaltake,Gravity i2,CLP0556-D,1800 RPM,21.3 dB,N/A,63 mm,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1200",No,No,9
Cooler Master MasterLiquid 360 Atmos,//cdna.pcpartpicker.com/static/forever/images/product/1f83b39742ea2f6a259c167218439a95.256p.jpg,$122.07 ,Cooler Master,MasterLiquid 360 Atmos,MLX-D36M-A25PZ-R1,690 - 2500 RPM,27.2 dB,Black,53 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Deepcool AK500S DIGITAL,//cdna.pcpartpicker.com/static/forever/images/product/27769264da6b86e4fe1bd0d285d1aef2.256p.jpg,$48.99 ,Deepcool,N/A,"R-AK500S-BKADMN-G, AK500S DIGITAL, AK500S Digital-AMAZON",500 - 1850 RPM,28 dB,Black,160 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Cooler Master MasterLiquid ML240L ARGB V2,//cdna.pcpartpicker.com/static/forever/images/product/cb116b0d041f248a568b96860facf7a8.256p.jpg,$99.99 ,Cooler Master,MasterLiquid ML240L ARGB V2,MLW-D24M-A18PW-RW,650 - 1800 RPM,8 - 27 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Lian Li Galahad II Trinity Performance,//cdna.pcpartpicker.com/static/forever/images/product/b602dfaf4352ab5599ba6add5bba511a.256p.jpg,$159.99 ,Lian Li,N/A,GA2P36W,2300 - 3000 RPM,32.1 - 39.9 dB,White,79 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,9
MSI MAG CORELIQUID M360,//cdna.pcpartpicker.com/static/forever/images/product/1941845aab8181cf519db787c405fded.256p.jpg,$89.00 ,MSI,N/A,"MAG CORELIQUID M360, 306-7ZW4R24-813",500 - 2000 RPM,14.3 - 34.3 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
Noctua NH-L12 Ghost S1,https://m.media-amazon.com/images/I/41DBGTctKJL.jpg,$64.90 ,Noctua,N/A,NH-L12 Ghost S1,300 - 1600 RPM,13.1 - 17.6 dB,Silver / Beige,66 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
